"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WSFG"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-01","0.04","0.4","1.0","37","22","30","32.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-02","0.00","0.0","0.0","47","28","42",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-03","0.00","0.0","0.0","44","37","39",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-04","0.03","0.3","0.0","39","30","31",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-05","0.04","0.6","1.0","32","29","31","44.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-06","0.01","0.1","0.0","44","29","37","38.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-07","0.02","0.2","0.0","43","24","33","31.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-08","0.14","1.8","2.0","33","18","18","33.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-09","0.00","0.0","1.0","39","7","37","42.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-10","0.03","0.0","0.0","48","37","47","32.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-11","2.37","0.0","0.0","54","34","34","34.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-12","0.38","0.7","0.0","34","21","27","32.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-13","0.03","0.4","0.0","36","26","33",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-14","0.00","0.0","0.0","40","30","38",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-15","0.01","0.0","0.0","41","23","35","32.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-16","0.02","0.0","0.0","35","24","24","36.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-17","0.00","0.0","0.0","27","14","23",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-18","0.98","6.4","4.0","38","23","34","40.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-19","0.10","1.8","5.0","34","15","19","36.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-20","0.00","0.0","5.0","26","10","20",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-21","0.00","0.0","4.0","32","15","26",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-22","0.00","0.0","4.0","31","12","27",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-23","0.00","0.0","4.0","38","20","35",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-24","0.53","0.0","3.0","36","32","35",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-25","0.13","0.1","2.0","36","32","33",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-26","0.08","0.6","2.0","35","32","33",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-27","0.03","0.0","2.0","34","32","34",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-28","0.00","0.1","1.0","34","31","32",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-29","0.00","0.0","1.0","32","28","29",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-30","0.00","0.1","1.0","32","28","30",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-01-31","0.01","0.1","1.0","32","28","31",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-01","0.07","1.0","1.0","33","16","32",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-02","0.01","0.1","0.0","51","31","45","36.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-03","0.00","0.0","0.0","53","26","44",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-04","0.00","0.0","0.0","44","32","32",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-05","0.00","0.0","0.0","32","21","27",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-06","0.21","2.3","2.0","27","23","25",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-07","0.08","1.3","3.0","34","24","29",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-08","0.06","2.1","4.0","31","23","28",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-09","0.07","1.0","4.0","33","17","30",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-10","0.16","0.9","4.0","35","29","32",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-11","0.00","0.0","2.0","37","25","33","36.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-12","0.00","0.0","2.0","33","17","31",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-13","0.14","2.4","4.0","32","19","19",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-14","0.00","0.1","4.0","23","-4","18",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-15","0.00","0.0","3.0","28","5","28","34.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-16","0.01","0.2","2.0","42","28","37",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-17","0.00","0.0","1.0","37","17","31",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-18","0.12","1.5","1.0","38","29","33","42.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-19","0.00","0.0","1.0","33","19","27",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-20","0.00","0.0","0.0","27","13","20",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-21","0.00","0.0","0.0","36","9","32","30.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-22","0.00","0.0","0.0","48","21","42","32.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-23","0.00","0.0","0.0","53","25","47","31.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-24","0.00","0.0","0.0","47","27","42",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-25","0.12","0.2","0.0","42","33","37",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-26","0.51","6.3","6.0","37","24","24","30.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-27","0.16","1.6","7.0","26","18","22","40.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-28","0.00","0.0","5.0","28","19","24","34.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-02-29","0.00","0.0","4.0","35","18","32",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-01","0.00","0.0","2.0","46","12","44",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-02","0.06","0.0","0.0","52","36","47",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-03","0.00","0.0","0.0","49","26","44","34.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-04","0.00","0.0","0.0","47","25","42","30.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-05","0.00","0.0","0.0","49","19","46",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-06","0.07","0.0","0.0","46","29","31","36.9"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-07","0.00","0.0","0.0","46","16","41",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-08","0.00","0.0","0.0","60","30","58","31.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-09","0.00","0.0","0.0","62","35","57","30.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-10","0.25","0.0","0.0","57","38","47","30.0"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-11","0.02","0.0","0.0","47","27","40",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-12","0.00","0.0","0.0","52","37","49",
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-13","0.01","0.0","0.0","49","37","44","46.1"
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2020-03-14","0.00","0.0","0.0","44","29","37",
