"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-01","7.38",,"0.15","0.0","0.0","51","56","47","  230","  210","18.1","23.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-02","7.38",,"0.04","0.0","0.0","47","53","43","  200","  200","21.9","28.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-03","11.41",,"0.12","0.0","0.0","50","62","44","  280","  340","25.1","35.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-04","9.84",,"0.16","0.0","0.0","47","49","41","  200","  200","21.9","27.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-05","10.51",,"0.26","0.0","0.0","45","49","42","  200","  200","25.1","33.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-06","18.12",,"0.22","0.0","0.0","46","52","45","  200","  200","30.0","36.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-07","15.43",,"0.11","0.0","0.0","52","58","47","  180","  200","25.9","36.9"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-08","4.70",,"0.32","0.0","0.0","47","48","36","  240","  320","13.0","18.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-09","4.47",,"0.00","0.0","0.0","40","42","36","  200","  200","13.0","14.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-10","12.97",,"0.41","0.0","0.0","42","48","40","  210","  210","25.1","35.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-11","11.41",,"0.19","0.0","0.0","46","47","42","  280","  290","25.1","30.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-12","13.42",,"0.26","0.0","0.0","44","47","39","  300","  310","23.0","27.1"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-13","6.93",,"0.18","0.0","0.0","40","40","36","  200","  190","18.1","21.0"
"USW00024229","PORTLAND INTERNATIONAL AIRPORT, OR US","45.5958","-122.6093","5.8","2020-01-14","6.49",,"0.04","0.0","0.0","38","41","32","  260","  250","18.1","21.0"
